i,z,Ex,Hy
0,0,0.0826813,-0.0743381
1,1,0.0982269,-0.0568057
2,2,0.112223,-0.0383775
3,3,0.12445,-0.019344
4,4,0.134714,-5.50335e-06
5,5,0.142854,0.0193331
6,6,0.14874,0.0383668
7,7,0.152281,0.0567955
8,8,0.153421,0.0743285
9,9,0.15214,0.0906892
10,10,0.148461,0.10562
11,11,0.14244,0.118885
12,12,0.134173,0.130275
13,13,0.12379,0.13961
14,14,0.111454,0.146744
15,15,0.097361,0.151563
16,16,0.0817325,0.153992
17,17,0.0648149,0.153993
18,18,0.0468752,0.151565
19,19,0.0281962,0.146747
20,20,0.0090726,0.139615
21,21,-0.0101941,0.13028
22,22,-0.0293001,0.118892
23,23,-0.0479439,0.105628
24,24,-0.0658317,0.0906981
25,25,-0.0826813,0.0743381
26,26,-0.0982269,0.0568057
27,27,-0.112223,0.0383775
28,28,-0.12445,0.019344
29,29,-0.134714,5.50335e-06
30,30,-0.142854,-0.0193331
31,31,-0.14874,-0.0383668
32,32,-0.152281,-0.0567955
33,33,-0.153421,-0.0743285
34,34,-0.15214,-0.0906892
35,35,-0.148461,-0.10562
36,36,-0.14244,-0.118885
37,37,-0.134173,-0.130275
38,38,-0.12379,-0.13961
39,39,-0.111454,-0.146744
40,40,-0.097361,-0.151563
41,41,-0.0817325,-0.153992
42,42,-0.0648149,-0.153993
43,43,-0.0468752,-0.151565
44,44,-0.0281962,-0.146747
45,45,-0.0090726,-0.139615
46,46,0.0101941,-0.13028
47,47,0.0293001,-0.118892
48,48,0.0479439,-0.105628
49,49,0.0658317,-0.0906981
50,50,0.0826813,-0.0743381
51,51,0.0982269,-0.0568057
52,52,0.112223,-0.0383775
53,53,0.12445,-0.019344
54,54,0.134714,-5.50336e-06
55,55,0.142854,0.0193331
56,56,0.14874,0.0383668
57,57,0.152281,0.0567955
58,58,0.153421,0.0743285
59,59,0.15214,0.0906892
60,60,0.148461,0.10562
61,61,0.14244,0.118885
62,62,0.134173,0.130275
63,63,0.12379,0.13961
64,64,0.111454,0.146744
65,65,0.097361,0.151563
66,66,0.0817325,0.153992
67,67,0.0648149,0.153993
68,68,0.0468752,0.151565
69,69,0.0281962,0.146747
70,70,0.0090726,0.139615
71,71,-0.0101941,0.13028
72,72,-0.0293001,0.118892
73,73,-0.0479439,0.105628
74,74,-0.0658317,0.0906981
75,75,-0.0826813,0.0743381
76,76,-0.0982269,0.0568057
77,77,-0.112223,0.0383775
78,78,-0.12445,0.019344
79,79,-0.134714,5.50336e-06
80,80,-0.142854,-0.0193331
81,81,-0.14874,-0.0383668
82,82,-0.152281,-0.0567955
83,83,-0.153421,-0.0743285
84,84,-0.15214,-0.0906892
85,85,-0.148461,-0.10562
86,86,-0.14244,-0.118885
87,87,-0.134173,-0.130275
88,88,-0.12379,-0.13961
89,89,-0.111454,-0.146744
90,90,-0.097361,-0.151563
91,91,-0.0817325,-0.153992
92,92,-0.0648149,-0.153993
93,93,-0.0468752,-0.151565
94,94,-0.0281962,-0.146747
95,95,-0.0090726,-0.139615
96,96,0.0101941,-0.13028
97,97,0.0293001,-0.118892
98,98,0.0479439,-0.105628
99,99,0.0658317,-0.0906981
100,100,0.0826813,-0.0743381
101,101,0.0982269,-0.0568057
102,102,0.112223,-0.0383775
103,103,0.12445,-0.019344
104,104,0.134714,-5.50336e-06
105,105,0.142854,0.0193331
106,106,0.14874,0.0383668
107,107,0.152281,0.0567955
108,108,0.153421,0.0743285
109,109,0.15214,0.0906892
110,110,0.148461,0.10562
111,111,0.14244,0.118885
112,112,0.134173,0.130275
113,113,0.12379,0.13961
114,114,0.111454,0.146744
115,115,0.097361,0.151563
116,116,0.0817325,0.153992
117,117,0.0648149,0.153993
118,118,0.0468752,0.151565
119,119,0.0281962,0.146747
120,120,0.0090726,0.139615
121,121,-0.0101941,0.13028
122,122,-0.0293001,0.118892
123,123,-0.0479439,0.105628
124,124,-0.0658317,0.0906981
125,125,-0.0826813,0.0743381
126,126,-0.0982269,0.0568057
127,127,-0.112223,0.0383775
128,128,-0.12445,0.019344
129,129,-0.134714,5.50335e-06
130,130,-0.142854,-0.0193331
131,131,-0.14874,-0.0383668
132,132,-0.152281,-0.0567955
133,133,-0.153421,-0.0743285
134,134,-0.15214,-0.0906892
135,135,-0.148461,-0.10562
136,136,-0.14244,-0.118885
137,137,-0.134173,-0.130275
138,138,-0.12379,-0.13961
139,139,-0.111454,-0.146744
140,140,-0.097361,-0.151563
141,141,-0.0817325,-0.153992
142,142,-0.0648149,-0.153993
143,143,-0.0468752,-0.151565
144,144,-0.0281962,-0.146747
145,145,-0.0090726,-0.139615
146,146,0.0101941,-0.13028
147,147,0.0293001,-0.118892
148,148,0.0479439,-0.105628
149,149,0.0658317,-0.0906981
150,150,0.0826813,-0.0743381
151,151,0.0982269,-0.0568057
152,152,0.112223,-0.0383775
153,153,0.12445,-0.019344
154,154,0.134714,-5.50335e-06
155,155,0.142854,0.0193331
156,156,0.14874,0.0383668
157,157,0.152281,0.0567955
158,158,0.153421,0.0743285
159,159,0.15214,0.0906892
160,160,0.148461,0.10562
161,161,0.14244,0.118885
162,162,0.134173,0.130275
163,163,0.12379,0.13961
164,164,0.111454,0.146744
165,165,0.097361,0.151563
166,166,0.0817325,0.153992
167,167,0.0648149,0.153993
168,168,0.0468752,0.151565
169,169,0.0281962,0.146747
170,170,0.0090726,0.139615
171,171,-0.0101941,0.13028
172,172,-0.0293001,0.118892
173,173,-0.0479439,0.105628
174,174,-0.0658317,0.0906981
175,175,-0.0826813,0.0743381
176,176,-0.0982269,0.0568057
177,177,-0.112223,0.0383775
178,178,-0.12445,0.019344
179,179,-0.134714,5.50335e-06
180,180,-0.142854,-0.0193331
181,181,-0.14874,-0.0383668
182,182,-0.152281,-0.0567955
183,183,-0.153421,-0.0743285
184,184,-0.15214,-0.0906892
185,185,-0.148461,-0.10562
186,186,-0.14244,-0.118885
187,187,-0.134173,-0.130275
188,188,-0.12379,-0.13961
189,189,-0.111454,-0.146744
190,190,-0.097361,-0.151563
191,191,-0.0817325,-0.153992
192,192,-0.0648149,-0.153993
193,193,-0.0468752,-0.151565
194,194,-0.0281962,-0.146747
195,195,-0.0090726,-0.139615
196,196,0.0101941,-0.13028
197,197,0.0293001,-0.118892
198,198,0.0479439,-0.105628
199,199,0.0658317,-0.0906981
